Transaction_Number,Office_FilerType,Date_Received_Filed,Transaction_Date,Ticker,Asset_Name,Transaction_Type,Amount
6297,"Whitehouse, Sheldon (Senator)",20-01-2016,05-01-2016,NFLX,"Netflix, Inc.",Purchase,8000.5
6298,"Whitehouse, Sheldon (Senator)",20-01-2016,05-01-2016,LLTC,Linear Technology Corporation,Purchase,8000.5
6299,"Whitehouse, Sheldon (Senator)",11-08-2016,05-01-2016,NFLX,"Netflix, Inc.",Purchase,8000.5
6300,"Whitehouse, Sheldon (Senator)",11-08-2016,05-01-2016,GILD,Gilead Sciences Inc.,Purchase,8000.5
6301,"Whitehouse, Sheldon (Senator)",11-08-2016,05-01-2016,GME,GameStop Corp.,Sale (Full),8000.5
6302,"Whitehouse, Sheldon (Senator)",11-08-2016,05-01-2016,LLTC,Linear Technology Corporation,Purchase,8000.5
6303,"Whitehouse, Sheldon (Senator)",11-08-2016,05-01-2016,NVDA,NVIDIA Corporation,Purchase,8000.5
6304,"Whitehouse, Sheldon (Senator)",11-08-2016,05-01-2016,CSCO,"Cisco Systems, Inc.",Purchase,8000.5
6305,"Whitehouse, Sheldon (Senator)",11-08-2016,05-01-2016,WMT,Wal-Mart Stores Inc.,Purchase,8000.5
6306,"Perdue, David (Senator)",07-01-2016,31-12-2015,--,WPX,Purchase,8000.5
6307,"Cassidy, Bill (Senator)",07-10-2016,30-12-2015,--,INTC-Intel Corporation (NASDAQ),Sale (Full),8000.5
6308,"Cassidy, Bill (Senator)",07-10-2016,30-12-2015,--,CMI-Cummins Inc. (NYSE),Purchase,8000.5
6309,"Cassidy, Bill (Senator)",07-10-2016,30-12-2015,--,AAPL-Apple Inc. (NASDAQ),Purchase,8000.5
6310,"Perdue, David (Senator)",07-01-2016,29-12-2015,--,SE,Purchase,32500.5
6311,"Perdue, David (Senator)",07-01-2016,29-12-2015,--,KMI,Sale (Full),32500.5
6312,"Perdue, David (Senator)",07-01-2016,29-12-2015,--,KMI,Sale (Partial),8000.5
6313,"Perdue, David (Senator)",07-01-2016,29-12-2015,--,VZ,Purchase,32500.5
6314,"Perdue, David (Senator)",07-01-2016,29-12-2015,--,IP,Purchase,32500.5
6315,"Perdue, David (Senator)",07-01-2016,29-12-2015,--,SE,Purchase,32500.5
6316,"Perdue, David (Senator)",07-01-2016,29-12-2015,--,ABBV,Purchase,8000.5
6317,"Reed, John F. (Senator)",14-01-2016,29-12-2015,VWO,Vanguard FTSE Emerging Markets ETF,Sale (Full),8000.5
6318,"Perdue, David (Senator)",07-01-2016,28-12-2015,--,CRMT,Purchase,8000.5
6319,"Rounds, Mike (Senator)",12-01-2016,28-12-2015,--,"Fischer, Rounds & Assoc., Inc (Insurance/Real Estate Agency, Pierre, SD)",Sale (Full),15000000.5
6320,"Whitehouse, Sheldon (Senator)",20-01-2016,28-12-2015,M,"Macy's, Inc.",Sale (Partial),8000.5
6321,"Whitehouse, Sheldon (Senator)",11-08-2016,28-12-2015,M,"Macy's, Inc.",Sale (Full),8000.5
6322,"Whitehouse, Sheldon (Senator)",11-08-2016,28-12-2015,M,"Macy's, Inc.",Sale (Partial),8000.5
6323,"Carper, Thomas R. (Senator)",07-01-2016,23-12-2015,--,Weight Watchers Intl Inc,Purchase,8000.5
6324,"Carper, Thomas R. (Senator)",07-01-2016,23-12-2015,--,Weight Watchers Intl Inc,Purchase,8000.5
6325,"Perdue, David (Senator)",07-01-2016,23-12-2015,--,LNT,Sale (Partial),75000.5
6326,"Perdue, David (Senator)",07-01-2016,23-12-2015,--,LQDT,Sale (Full),8000.5
