Transaction_Number,Office_FilerType,Date_Received_Filed,Transaction_Date,Ticker,Asset_Name,Transaction_Type,Amount
1,"Carper, Thomas R. (Senator)",02-02-2023,18-01-2023,RIO,Rio Tinto Plc,Sale (Full),8000.5
2,"Carper, Thomas R. (Senator)",02-02-2023,18-01-2023,FPI,Farmland Partners Inc. Common Stock,Purchase,8000.5
3,"Carper, Thomas R. (Senator)",02-02-2023,18-01-2023,RIO,Rio Tinto Plc,Sale (Full),8000.5
4,"Carper, Thomas R. (Senator)",02-02-2023,18-01-2023,FPI,Farmland Partners Inc. Common Stock,Purchase,8000.5
5,"Carper, Thomas R. (Senator)",02-02-2023,12-01-2023,AQN,Algonquin Power and Utilities Corp,Sale (Full),8000.5
6,"Carper, Thomas R. (Senator)",02-02-2023,12-01-2023,AQN,Algonquin Power and Utilities Corp,Sale (Full),8000.5
7,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,AMT,American Tower Corporation (REIT) Common Stock,Purchase,8000.5
8,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,ATKR,Atkore Inc. Common Stock,Purchase,8000.5
9,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,HOLX,"Hologic, Inc. - Common Stock",Sale (Full),8000.5
10,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,BHP,BHP Group Limited American Depositary Shares (Each,Purchase,8000.5
11,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,RMD,ResMed Inc. Common Stock,Sale (Full),8000.5
12,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,CVS,CVS Health Corporation Common Stock,Sale (Partial),8000.5
13,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,TU,Telus Corporation Ordinary Shares,Sale (Full),8000.5
14,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,DLR,"Digital Realty Trust, Inc. Common Stock",Purchase,8000.5
15,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,AXS,Axis Capital Holdings Limited Common Stock,Sale (Full),8000.5
16,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,CME,CME Group Inc. - Class A Common Stock,Purchase,8000.5
17,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,SAND,Sandstorm Gold Ltd. Ordinary Shares (Canada),Purchase,8000.5
18,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,BSM,"Black Stone Minerals, L.P. Common units representi",Purchase,8000.5
19,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,FLNG,FLEX LNG Ltd. Ordinary Shares,Purchase,8000.5
20,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,EQNR,Equinor ASA,Purchase,8000.5
21,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,MCD,McDonald's Corporation Common Stock,Sale (Full),8000.5
22,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,AMT,American Tower Corporation (REIT) Common Stock,Purchase,8000.5
23,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,ATKR,Atkore Inc. Common Stock,Purchase,8000.5
24,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,HOLX,"Hologic, Inc. - Common Stock",Sale (Full),8000.5
25,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,BHP,BHP Group Limited American Depositary Shares (Each,Purchase,8000.5
26,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,RMD,ResMed Inc. Common Stock,Sale (Full),8000.5
27,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,CVS,CVS Health Corporation Common Stock,Sale (Partial),8000.5
28,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,TU,Telus Corporation Ordinary Shares,Sale (Full),8000.5
29,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,DLR,"Digital Realty Trust, Inc. Common Stock",Purchase,8000.5
30,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,AXS,Axis Capital Holdings Limited Common Stock,Sale (Full),8000.5
31,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,CME,CME Group Inc. - Class A Common Stock,Purchase,8000.5
32,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,SAND,Sandstorm Gold Ltd. Ordinary Shares (Canada),Purchase,8000.5
33,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,BSM,"Black Stone Minerals, L.P. Common units representi",Purchase,8000.5
34,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,FLNG,FLEX LNG Ltd. Ordinary Shares,Purchase,8000.5
35,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,EQNR,Equinor ASA,Purchase,8000.5
36,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,MCD,McDonald's Corporation Common Stock,Sale (Full),8000.5
37,"Carper, Thomas R. (Senator)",02-02-2023,04-01-2023,MAXR,Maxar Technologies Inc,Sale (Full),8000.5
38,"Carper, Thomas R. (Senator)",02-02-2023,04-01-2023,MGM,MGM Resorts International Common Stock,Purchase,8000.5
39,"Carper, Thomas R. (Senator)",02-02-2023,04-01-2023,MAXR,Maxar Technologies Inc,Sale (Full),8000.5
40,"Carper, Thomas R. (Senator)",02-02-2023,04-01-2023,MGM,MGM Resorts International Common Stock,Purchase,8000.5
41,"Capito, Shelley Moore (Senator)",17-01-2023,29-12-2022,--,AXAHY,Sale (Full),8000.5
42,"Capito, Shelley Moore (Senator)",17-01-2023,29-12-2022,--,WFC,Sale (Partial),8000.5
43,"Capito, Shelley Moore (Senator)",17-01-2023,29-12-2022,--,AXAHY,Sale (Full),8000.5
44,"Capito, Shelley Moore (Senator)",17-01-2023,29-12-2022,--,WFC,Sale (Partial),8000.5
45,"Cantwell, Maria (Senator)",13-01-2023,28-12-2022,RNWK,"RealNetworks, Inc. - Common Stock",Sale (Full),32500.5
46,"Tuberville, Tommy (Senator)",13-01-2023,23-12-2022,GOLD,Barrick Gold Corporation Common Stock (BC),Purchase,32500.5
47,"King, Angus (Senator)",18-01-2023,21-12-2022,EA,Electronic Arts Inc. - Common Stock,Purchase,8000.5
48,"Collins, Susan M. (Senator)",10-01-2023,20-12-2022,AKAM,"Akamai Technologies, Inc. - Common Stock",Sale (Full),32500.5
49,"King, Angus (Senator)",18-01-2023,19-12-2022,ADBE,Adobe Inc. - Common Stock,Sale (Full),8000.5
50,"Tuberville, Tommy (Senator)",13-01-2023,19-12-2022,NU,Nu Holdings Ltd. Class A Ordinary Shares,Purchase,8000.5
51,"Capito, Shelley Moore (Senator)",17-01-2023,15-12-2022,VFC,V.F. Corporation Common Stock,Sale (Full),8000.5
52,"Capito, Shelley Moore (Senator)",17-01-2023,15-12-2022,VFC,V.F. Corporation Common Stock,Sale (Full),8000.5
53,"Tuberville, Tommy (Senator)",13-01-2023,15-12-2022,DIS,Walt Disney Company (The) Common Stock,Sale (Partial),32500.5
54,"Hickenlooper, John (Senator)",22-12-2022,14-12-2022,FWONK,Liberty Media Corporation - Series C Liberty Formu,Purchase,75000.5
55,"Peters, Gary (Senator)",10-01-2023,12-12-2022,WBD,"Warner Bros. Discovery, Inc. - Series A Common Sto",Sale (Full),8000.5
56,"Tuberville, Tommy (Senator)",13-01-2023,09-12-2022,PYPL,"PayPal Holdings, Inc. - Common Stock",Sale (Partial),8000.5
57,"Tuberville, Tommy (Senator)",13-01-2023,09-12-2022,PYPL,"PayPal Holdings, Inc. - Common Stock",Sale (Partial),8000.5
58,"Tuberville, Tommy (Senator)",13-01-2023,09-12-2022,PYPL,"PayPal Holdings, Inc. - Common Stock",Sale (Partial),8000.5
59,"Tuberville, Tommy (Senator)",13-01-2023,09-12-2022,PYPL,"PayPal Holdings, Inc. - Common Stock",Sale (Partial),32500.5
60,"Tuberville, Tommy (Senator)",13-01-2023,09-12-2022,PYPL,"PayPal Holdings, Inc. - Common Stock",Sale (Partial),75000.5
61,"Tuberville, Tommy (Senator)",13-01-2023,09-12-2022,PYPL,"PayPal Holdings, Inc. - Common Stock",Sale (Partial),175000.5
62,"Tuberville, Tommy (Senator)",13-01-2023,08-12-2022,PYPL,"PayPal Holdings, Inc. - Common Stock",Purchase,32500.5
63,"Tuberville, Tommy (Senator)",13-01-2023,06-12-2022,GOLD,Barrick Gold Corporation Common Stock (BC),Purchase,75000.5
64,"Hickenlooper, John (Senator)",22-12-2022,05-12-2022,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Sale (Partial),375000.5
65,"Hickenlooper, John (Senator)",22-12-2022,05-12-2022,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Purchase,175000.5
66,"McConnell, A. Mitchell Jr. (Senator)",29-12-2022,05-12-2022,WFC,Wells Fargo & Company Common Stock,Purchase,8000.5
67,"Tuberville, Tommy (Senator)",13-01-2023,05-12-2022,PYPL,"PayPal Holdings, Inc. - Common Stock",Purchase,375000.5
68,"Tuberville, Tommy (Senator)",13-01-2023,02-12-2022,QCOM,QUALCOMM Incorporated - Common Stock,Sale (Partial),75000.5
69,"Tuberville, Tommy (Senator)",13-01-2023,01-12-2022,QCOM,QUALCOMM Incorporated - Common Stock,Purchase,175000.5
70,"Tuberville, Tommy (Senator)",13-01-2023,01-12-2022,GOLD,Barrick Gold Corporation Common Stock (BC),Purchase,8000.5
71,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,SYK,Stryker Corporation Common Stock,Sale (Full),8000.5
72,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,PYPL,"PayPal Holdings, Inc. - Common Stock",Sale (Full),8000.5
73,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,META,"Meta Platforms, Inc. - Class A Common Stock",Sale (Full),8000.5
74,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,MDT,Medtronic plc. Ordinary Shares,Sale (Full),8000.5
75,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,MLM,"Martin Marietta Materials, Inc. Common Stock",Sale (Full),8000.5
76,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,FFIV,"F5, Inc. - Common Stock",Sale (Full),8000.5
77,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,ELAN,Elanco Animal Health Incorporated Common Stock,Sale (Full),8000.5
78,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,CMCSA,Comcast Corporation - Class A Common Stock,Sale (Full),8000.5
79,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,BAX,Baxter International Inc. Common Stock,Sale (Full),8000.5
80,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,GOOG,Alphabet Inc. - Class C Capital Stock,Sale (Partial),8000.5
81,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,ADBE,Adobe Inc. - Common Stock,Sale (Full),8000.5
82,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,RPM,RPM International Inc. Common Stock,Sale (Partial),32500.5
83,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,ZTS,Zoetis Inc. Class A Common Stock,Purchase,8000.5
84,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,TJX,"TJX Companies, Inc. (The) Common Stock",Purchase,8000.5
85,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,TMO,Thermo Fisher Scientific Inc Common Stock,Purchase,8000.5
86,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,MSFT,Microsoft Corporation - Common Stock,Purchase,32500.5
87,"Sullivan, Dan (Senator)",21-12-2022,30-11-2022,LRCX,Lam Research Corporation - Common Stock,Purchase,8000.5
88,"Carper, Thomas R. (Senator)",09-12-2022,29-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),8000.5
89,"Carper, Thomas R. (Senator)",09-12-2022,29-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),8000.5
90,"Carper, Thomas R. (Senator)",09-12-2022,29-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),8000.5
91,"Carper, Thomas R. (Senator)",09-12-2022,29-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),8000.5
92,"Carper, Thomas R. (Senator)",09-12-2022,29-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),8000.5
93,"Carper, Thomas R. (Senator)",09-12-2022,29-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),8000.5
94,"Carper, Thomas R. (Senator)",09-12-2022,29-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),8000.5
95,"Carper, Thomas R. (Senator)",09-12-2022,29-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),8000.5
96,"Hickenlooper, John (Senator)",22-12-2022,29-11-2022,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Sale (Partial),75000.5
97,"Hickenlooper, John (Senator)",22-12-2022,29-11-2022,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Purchase,75000.5
98,"McConnell, A. Mitchell Jr. (Senator)",29-12-2022,29-11-2022,KR,Kroger Company (The) Common Stock,Purchase,8000.5
99,"Whitehouse, Sheldon (Senator)",30-12-2022,29-11-2022,C,"Citigroup, Inc. Common Stock",Sale (Full),8000.5
100,"Whitehouse, Sheldon (Senator)",30-12-2022,29-11-2022,C,"Citigroup, Inc. Common Stock",Sale (Full),8000.5
101,"Hickenlooper, John (Senator)",29-11-2022,23-11-2022,BATRK,Liberty Media Corporation - Series C Liberty Brave,Sale (Partial),175000.5
102,"Hickenlooper, John (Senator)",29-11-2022,23-11-2022,BATRK,Liberty Media Corporation - Series C Liberty Brave,Purchase,75000.5
103,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,DIS,Walt Disney Company (The) Common Stock,Purchase,8000.5
104,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,NVDA,NVIDIA Corporation - Common Stock,Purchase,8000.5
105,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,MSFT,Microsoft Corporation - Common Stock,Purchase,8000.5
106,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,META,"Meta Platforms, Inc. - Class A Common Stock",Purchase,8000.5
107,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,AAPL,Apple Inc. - Common Stock,Purchase,8000.5
108,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,AMZN,"Amazon.com, Inc. - Common Stock",Purchase,8000.5
109,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,GOOG,Alphabet Inc. - Class C Capital Stock,Purchase,8000.5
110,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,ADBE,Adobe Inc. - Common Stock,Purchase,8000.5
111,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,DIS,Walt Disney Company (The) Common Stock,Purchase,8000.5
112,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,NVDA,NVIDIA Corporation - Common Stock,Purchase,8000.5
113,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,MSFT,Microsoft Corporation - Common Stock,Purchase,8000.5
114,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,META,"Meta Platforms, Inc. - Class A Common Stock",Purchase,8000.5
115,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,AAPL,Apple Inc. - Common Stock,Purchase,8000.5
116,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,AMZN,"Amazon.com, Inc. - Common Stock",Purchase,8000.5
117,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,GOOG,Alphabet Inc. - Class C Capital Stock,Purchase,8000.5
118,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,ADBE,Adobe Inc. - Common Stock,Purchase,8000.5
119,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,DIS,Walt Disney Company (The) Common Stock,Purchase,8000.5
120,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,NVDA,NVIDIA Corporation - Common Stock,Purchase,8000.5
121,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,MSFT,Microsoft Corporation - Common Stock,Purchase,8000.5
122,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,META,"Meta Platforms, Inc. - Class A Common Stock",Purchase,8000.5
123,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,AAPL,Apple Inc. - Common Stock,Purchase,8000.5
124,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,AMZN,"Amazon.com, Inc. - Common Stock",Purchase,8000.5
125,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,GOOG,Alphabet Inc. - Class C Capital Stock,Purchase,8000.5
126,"Sullivan, Dan (Senator)",21-12-2022,22-11-2022,ADBE,Adobe Inc. - Common Stock,Purchase,8000.5
127,"Tuberville, Tommy (Senator)",14-12-2022,22-11-2022,MSFT,Microsoft Corporation - Common Stock,Sale (Partial),175000.5
128,"Tuberville, Tommy (Senator)",14-12-2022,22-11-2022,F,Ford Motor Company Common Stock,Sale (Full),175000.5
129,"Hickenlooper, John (Senator)",29-11-2022,21-11-2022,BATRA,Liberty Media Corporation - Series A Liberty Brave,Sale (Partial),32500.5
130,"Hickenlooper, John (Senator)",29-11-2022,21-11-2022,BATRA,Liberty Media Corporation - Series A Liberty Brave,Purchase,8000.5
131,"Hickenlooper, John (Senator)",29-11-2022,21-11-2022,BATRK,Liberty Media Corporation - Series C Liberty Brave,Sale (Partial),32500.5
132,"Hickenlooper, John (Senator)",29-11-2022,21-11-2022,BATRK,Liberty Media Corporation - Series C Liberty Brave,Purchase,8000.5
133,"Tuberville, Tommy (Senator)",14-12-2022,17-11-2022,F,Ford Motor Company Common Stock,Purchase,175000.5
134,"Carper, Thomas R. (Senator)",09-12-2022,15-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),32500.5
135,"Carper, Thomas R. (Senator)",09-12-2022,15-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),32500.5
136,"Carper, Thomas R. (Senator)",09-12-2022,15-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),32500.5
137,"Carper, Thomas R. (Senator)",09-12-2022,15-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),32500.5
138,"Hickenlooper, John (Senator)",29-11-2022,14-11-2022,LBRDA,Liberty Broadband Corporation - Class A Common Sto,Sale (Partial),75000.5
139,"Hickenlooper, John (Senator)",29-11-2022,14-11-2022,LBRDA,Liberty Broadband Corporation - Class A Common Sto,Purchase,32500.5
140,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,STX,Seagate Technology Holdings PLC - Ordinary Shares,Sale (Full),32500.5
141,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,BALL,Ball Corporation Common Stock,Sale (Full),32500.5
142,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,COUP,Coupa Software Incorporated - Common Stock,Sale (Full),32500.5
143,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,DIS,Walt Disney Company (The) Common Stock,Sale (Partial),75000.5
144,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,META,"Meta Platforms, Inc. - Class A Common Stock",Sale (Full),75000.5
145,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,FDX,FedEx Corporation Common Stock,Sale (Full),75000.5
146,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,IRBT,iRobot Corporation - Common Stock,Sale (Partial),32500.5
147,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,--,JTKWY - Just Eat Takeaway.com NV - ADR,Sale (Full),8000.5
148,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,MTCH,"Match Group, Inc. - Common Stock",Sale (Full),32500.5
149,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,NFLX,"Netflix, Inc. - Common Stock",Sale (Full),75000.5
150,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,PYPL,"PayPal Holdings, Inc. - Common Stock",Sale (Full),175000.5
151,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,SQ,"Block, Inc. Class A Common Stock,",Sale (Full),32500.5
152,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,MMM,3M Company Common Stock,Sale (Partial),8000.5
153,"Wyden, Ron (Senator)",11-12-2022,11-11-2022,WDAY,"Workday, Inc. - Class A Common Stock",Sale (Full),8000.5
154,"Tuberville, Tommy (Senator)",14-12-2022,09-11-2022,INTC,Intel Corporation - Common Stock,Purchase,175000.5
155,"Carper, Thomas R. (Senator)",09-12-2022,08-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),8000.5
156,"Carper, Thomas R. (Senator)",09-12-2022,08-11-2022,LDP,Cohen & Steers Limited Duration Preferred and Inco,Sale (Full),8000.5
157,"Carper, Thomas R. (Senator)",09-12-2022,08-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),8000.5
158,"Carper, Thomas R. (Senator)",09-12-2022,08-11-2022,LDP,Cohen & Steers Limited Duration Preferred and Inco,Sale (Full),8000.5
159,"Carper, Thomas R. (Senator)",09-12-2022,08-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),8000.5
160,"Carper, Thomas R. (Senator)",09-12-2022,08-11-2022,LDP,Cohen & Steers Limited Duration Preferred and Inco,Sale (Full),8000.5
161,"Carper, Thomas R. (Senator)",09-12-2022,08-11-2022,WIW,Western Asset Inflation-Linked Opportunities & Inc,Sale (Full),8000.5
162,"Carper, Thomas R. (Senator)",09-12-2022,08-11-2022,LDP,Cohen & Steers Limited Duration Preferred and Inco,Sale (Full),8000.5
163,"Tuberville, Tommy (Senator)",14-12-2022,08-11-2022,PYPL,"PayPal Holdings, Inc. - Common Stock",Sale (Partial),175000.5
164,"Tuberville, Tommy (Senator)",14-12-2022,08-11-2022,ATVI,"Activision Blizzard, Inc - Common Stock",Purchase,175000.5
165,"Tuberville, Tommy (Senator)",14-12-2022,07-11-2022,PYPL,"PayPal Holdings, Inc. - Common Stock",Purchase,175000.5
166,"Tuberville, Tommy (Senator)",14-12-2022,03-11-2022,CLF,Cleveland-Cliffs Inc. Common Stock,Purchase,75000.5
167,"Tuberville, Tommy (Senator)",14-12-2022,01-11-2022,NU,Nu Holdings Ltd. Class A Ordinary Shares,Purchase,8000.5
168,"Tuberville, Tommy (Senator)",14-12-2022,01-11-2022,CLF,Cleveland-Cliffs Inc. Common Stock,Purchase,8000.5
169,"Tuberville, Tommy (Senator)",10-11-2022,31-10-2022,CLF,Cleveland-Cliffs Inc. Common Stock,Purchase,32500.5
170,"Carper, Thomas R. (Senator)",03-11-2022,27-10-2022,BMN,BlackRock 2037 Municipal Target Term Trust Common,Purchase,8000.5
171,"Carper, Thomas R. (Senator)",03-11-2022,27-10-2022,BMN,BlackRock 2037 Municipal Target Term Trust Common,Purchase,8000.5
172,"Tuberville, Tommy (Senator)",10-11-2022,25-10-2022,FTBFX,Fidelity Total Bond,Sale (Full),32500.5
173,"Tuberville, Tommy (Senator)",10-11-2022,25-10-2022,--,Verizon Communications Inc. Common Stock,Sale (Full),32500.5
174,"Tuberville, Tommy (Senator)",10-11-2022,25-10-2022,--,SIEGY,Sale (Full),32500.5
175,"Tuberville, Tommy (Senator)",10-11-2022,25-10-2022,FDX,FedEx Corporation Common Stock,Sale (Full),8000.5
176,"Tuberville, Tommy (Senator)",10-11-2022,24-10-2022,MSFT,Microsoft Corporation - Common Stock,Purchase,32500.5
177,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,VZ,Verizon Communications Inc. Common Stock,Sale (Full),8000.5
178,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,CVS,CVS Health Corporation Common Stock,Purchase,8000.5
179,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,DLR,"Digital Realty Trust, Inc. Common Stock",Sale (Full),8000.5
180,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Purchase,8000.5
181,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,MPW,"Medical Properties Trust, Inc. common stock",Purchase,8000.5
182,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,LDP,Cohen & Steers Limited Duration Preferred and Inco,Sale (Full),8000.5
183,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,GMRE,Global Medical REIT Inc. Common Stock,Sale (Full),8000.5
184,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,ABT,Abbott Laboratories Common Stock,Purchase,8000.5
185,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,DIS,Walt Disney Company (The) Common Stock,Sale (Full),8000.5
186,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,INTC,Intel Corporation - Common Stock,Sale (Full),8000.5
187,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,VZ,Verizon Communications Inc. Common Stock,Sale (Full),8000.5
188,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,CVS,CVS Health Corporation Common Stock,Purchase,8000.5
189,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,DLR,"Digital Realty Trust, Inc. Common Stock",Sale (Full),8000.5
190,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Purchase,8000.5
191,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,MPW,"Medical Properties Trust, Inc. common stock",Purchase,8000.5
192,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,LDP,Cohen & Steers Limited Duration Preferred and Inco,Sale (Full),8000.5
193,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,GMRE,Global Medical REIT Inc. Common Stock,Sale (Full),8000.5
194,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,ABT,Abbott Laboratories Common Stock,Purchase,8000.5
195,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,DIS,Walt Disney Company (The) Common Stock,Sale (Full),8000.5
196,"Carper, Thomas R. (Senator)",03-11-2022,17-10-2022,INTC,Intel Corporation - Common Stock,Sale (Full),8000.5
197,"Tuberville, Tommy (Senator)",10-11-2022,13-10-2022,NU,Nu Holdings Ltd. Class A Ordinary Shares,Purchase,32500.5
198,"Tuberville, Tommy (Senator)",10-11-2022,13-10-2022,MSFT,Microsoft Corporation - Common Stock,Purchase,375000.5
199,"Tuberville, Tommy (Senator)",10-11-2022,11-10-2022,NU,Nu Holdings Ltd. Class A Ordinary Shares,Purchase,8000.5
200,"Tuberville, Tommy (Senator)",10-11-2022,06-10-2022,NU,Nu Holdings Ltd. Class A Ordinary Shares,Purchase,8000.5
201,"Tuberville, Tommy (Senator)",10-11-2022,06-10-2022,VCTR,"Victory Capital Holdings, Inc. - Common Stock",Purchase,8000.5
202,"Tuberville, Tommy (Senator)",10-11-2022,06-10-2022,VCTR,"Victory Capital Holdings, Inc. - Common Stock",Purchase,8000.5
203,"Tuberville, Tommy (Senator)",10-11-2022,06-10-2022,VCTR,"Victory Capital Holdings, Inc. - Common Stock",Purchase,8000.5
204,"Tuberville, Tommy (Senator)",10-11-2022,06-10-2022,VRTX,Vertex Pharmaceuticals Incorporated - Common Stock,Purchase,8000.5
205,"Tuberville, Tommy (Senator)",10-11-2022,06-10-2022,TREX,"Trex Company, Inc. Common Stock",Purchase,8000.5
206,"Tuberville, Tommy (Senator)",10-11-2022,06-10-2022,SCI,Service Corporation International Common Stock,Purchase,8000.5
207,"Tuberville, Tommy (Senator)",10-11-2022,06-10-2022,RELX,RELX PLC PLC American Depositary Shares (Each repr,Purchase,8000.5
208,"Tuberville, Tommy (Senator)",10-11-2022,06-10-2022,RH,RH Common Stock,Purchase,8000.5
209,"Tuberville, Tommy (Senator)",10-11-2022,06-10-2022,PHM,"PulteGroup, Inc. Common Stock",Purchase,8000.5
